Property_ID,Name,Location,Price,Size_sqft,BHK,Amenities,Distance_to_Transit
P052,WTC CBD,Gurgaon Sector 109,₹38k,1400,2,"Near International Airport",12
P053,Hero Homes,Gurgaon Sector 104,₹45k,1350,2,"Wellness, Smart Devices",8
P054,Prtateek Stylome,Noida Sector 45,₹52k,1850,3,"High End finishing, Pool",10
P055,Gaur Mulberry Mansions,Greater Noida,₹2.2L,8000,6,"Ultra Luxury, Farmhouse style",25
P056,GreatValue Sharanam,Noida Sector 107,₹38k,1450,2,"Quiet, Security",9
P057,Express Astra,Greater Noida West,₹26k,1250,2,"Modern, Track, Club",16
P058,La Lagune,Gurgaon Sector 54,₹1.4L,3100,4,"Premium Living, Golf Road",6
P059,Unitech Heritage City,Gurgaon MG Road,₹85k,2400,3,"Walking to Metro, Prime",2
P060,Signature Global Floors,Gurgaon Sector 37D,₹32k,1100,2,"Stilt Parking, Gated",13
P061,Spaze Privy,Gurgaon Sector 72,₹44k,1700,3,"Modern, Pool, Gym",10
P062,Omaxe Twin Towers,Noida Sector 50,₹48k,1900,3,"Central Location, Market",5
P063,Today Blossoms,Gurgaon Sector 47,₹38k,1400,2,"Quiet Area, Storage",11
P064,Bestech Park View Residency,Gurgaon Sector 3,₹42k,1650,3,"Good Connectivity Delhi",10
P065,ATS Pristine,Noida Sector 150,₹65k,2300,3,"Green Zone, Low Density",12
P066,ACE Golfshire,Noida Sector 150,₹50k,1850,3,"Theme Garden, Sports",11
P067,Victory Crossroads,Gurgaon Sector 95,₹28k,1200,2,"Value for Money, Gated",15
P068,BPTP Park Serene,Gurgaon Sector 37D,₹30k,1300,2,"Club, Gym, Security",12
P069,Emaar Imperial Gardens,Gurgaon Sector 102,₹55k,2000,3,"Open spaces, Club",9
P070,Godrej Prive,Gurgaon Sector 106,₹78k,2200,3,"Luxury Lifestyle, Spa",7
P071,Shapoorji Vicinia,Gurgaon Sector 102,₹42k,1500,2,"Trust, Modern Build",10
P072,Antriksh Golf View,Noida Sector 78,₹34k,1350,3,"Convenient, Market near",6
P073,Sikka Karnam,Noida Sector 143,₹28k,1150,2,"Balcony, AC, Gym",14
P074,Paramount Golf Foreste,Greater Noida,₹32k,1700,3,"Golf theme, Villas",20
P075,Samridhi Grand Avenue,Greater Noida West,₹24k,1200,2,"Clubhouse, Pool",16
P076,Gaur Saundaryam,Greater Noida West,₹45k,1900,3,"Premium feel, Layout",12
P077,Civitech Stadia,Noida Sector 79,₹50k,1700,3,"Modern, Gated",7
P078,Ats Allure,Yamuna Expressway,₹22k,1150,2,"Investment area, Gated",25
P079,Supertech Capetown,Noida Sector 74,₹38k,1500,3,"Large Layout, Gym",11
P080,Prateek Wisteria,Noida Sector 77,₹35k,1400,2,"Family orientied, Market",6
P081,Jaypee Greens-Sea Court,Greater Noida,₹55k,2200,3,"Upscale, Near Pari Chowk",18
P082,Omaxe Grand,Noida Sector 93B,₹48k,1900,3,"Good Maintenance, Club",11
P083,M3M Urbana,Gurgaon Sector 67,₹62k,1700,2,"Mixed use, Trendy",1
P084,Ambience Tiverton,Noida Sector 50,₹1.1L,3200,3,"Prime Noida, Luxury",4
P085,Ireo The Corridors,Gurgaon Sector 67A,₹58k,1900,3,"Large Township, Sports",12
P086,M3M Latitude,Gurgaon Sector 65,₹95k,2400,3,"Rooftop Lounge, High Tech",9
P087,Signature Global City,Gurgaon Sector 81,₹35k,1200,2,"Floors, High Quality",11
P088,Mapsko Paradise,Gurgaon Sector 83,₹27k,1050,2,"Market near, Secure",14
P089,Vatika sovereign Park,Gurgaon Sector 99,₹72k,2600,3,"Open spaces, Modern",13
P090,M3M Sierra,Gurgaon Sector 68,₹45k,1500,2,"Lake view, Gated",11
P091,Puri Diplomatic Greens,Gurgaon Sector 111,₹1.2L,3200,4,"DW Expressway, Prime",8
P092,Godrej Nature Plus,Gurgaon Sohna Road,₹58k,1800,3,"Wellness, Landscape",14
P093,Signature Global Prime,Gurgaon Sector 63A,₹36k,1200,2,"Ready to Move, Secure",10
P094,Whiteland Blissville,Gurgaon Sector 76,₹68k,1600,2,"Low Rise, High Class",12
P095,Emaar Gurgaon Greens,Gurgaon Sector 102,₹62k,2200,3,"Spacious, High rise",9
P096,Adani Samsara,Gurgaon Sector 60,₹1.4L,3400,4,"Independent Floors, Prime",7
P097,Nirala Estate,Greater Noida West,₹25k,1250,2,"Spacious Layout, Club",15
P098,Godrej Palm Retreat,Noida Sector 150,₹72k,1900,3,"Resort style, Low rise",10
P099,Eldeco Live by the Greens,Noida Sector 150,₹42k,1400,2,"Cricket theme, Green",11
P100,M3M Royal Regalia,Gurgaon Sector 67,₹1.2L,2600,3,"Serviced Apts, Luxury",3
